capture_count,num_heads,num_tails
0,0,0
1,8,3
2,7,5
3,7,5
4,8,4
5,10,2
6,6,6
7,5,7
8,9,3
9,7,5
10,4,7
11,7,7
12,11,1
13,7,7
14,7,7
15,6,7
16,7,4
17,7,5
18,6,6
19,6,7
20,7,5
