capture_count,num_heads,num_tails
0,0,0
1,5,2
2,6,1
3,4,4
4,3,3
5,3,4
6,5,3
7,8,0
8,4,4
9,3,5
10,2,5
11,5,4
12,6,4
13,6,4
14,5,5
15,4,5
16,2,8
17,7,3
18,6,4
19,7,3
20,6,3
